序号,日期,运动时长,坐立卷腹机,曲臂伸机,高位下拉机,腿屈伸机,臀桥/臀桥机,肩部推举,蝴蝶夹胸,胸飞鸟,髋外展/内收,俯身倒蹬,划船机(配速/距离/功率/时间/频率)
11,04-11,约 120 分钟,–,–,斜高位下拉（双边）30kg×12（1组）,–,–,斜上肩推（双边）15kg×8×4,胸部推举36kg×14×4,飞鸟夹胸35kg×12×4,–,–,快走10min热身；训后拉伸：最伟大拉伸、猫牛式、胸部拉伸；平板支撑60s×4；划船机20min，3200m，均速0:55/500m
12,04-10,约 120 分钟,卷腹机40kg×12×3 未做,坐姿杠铃弯举15kg×12×4,斜高位下拉（单边）30kg×12×4,68kg×12×4 未做,自由深蹲50kg×12×4 未做,斜上肩推（单边）15kg×8×4,胸部推举36kg×14×3 未做,–,–,–,快走10min热身；平板支撑90s+60s×3；坐姿划船36kg×12×4；战绳13min（20s摔/10s休×20组）未做；划船机20min，3100m，均速1:50/500m
13,04-09,约 120 分钟,–（计划40kg×12×3未做）,坐姿杠铃弯举15kg×12×4,斜高位下拉（单边）30kg×12×4,68kg×12×4 未做,自由深蹲50kg×12×4 未做,斜上肩推（单边）15kg×8×4,–,–,–,–,快走10min热身；滑雪风阻机约12:55（记录含1500m/1816m等）；战绳13min（20s摔/10s休×20组）未做；划船机15min，3100m，心率约130；另：胸部推举36kg×14×3、坐姿划船36kg×12×4
14,04-08,–,–,–,–,–,–,–,–,–,–,–,骑自行车7公里；步行3.1公里
15,04-07,约 12 分钟,–,–,–,–,–,–,–,–,–,–,250m×8，功率约210W，约12分钟，间休45秒
16,04-06,约 160 分钟（游泳60+力量约100）,60kg×12×4,65kg×12×4,50kg×12×4,80kg×8×4 未做,史密斯深蹲70kg×8×2+50kg×12×2+30kg×12×2,30kg×12×4,无,40kg×12×4,–,无,上午游泳学习约60分钟；划船未做
17,04-05,约 100 分钟,60kg×12×4,65kg×12×4,50kg×12×4,80kg×8×4 未做,史密斯深蹲50×12+40×12×3,30kg×12×4,无,40kg×12×4,–,左右各40kg×12×4,划船未按计划完成
18,04-04,约 95 分钟,60kg×12×4,65kg×12×4+三头绳30kg×8×4,50kg×12×4,80kg×8×4 未做,史密斯深蹲50×12+40×12×3,30kg×12×4,无,40kg×12×4,各60kg×12×4 未做,左右各40kg×12×4,02:03/500m，3021m，13:00，35spm；另250m×12 间休45s
19,04-03,约 98 分钟,60kg×12×4,65kg×12×4+三头绳30kg×8×4,50kg×12×4,80kg×8×4 未做,史密斯深蹲50×12+40×12×3,30kg×12×4,无,40kg×12×4（分动胸推）,各60kg×12×4 未做,左右各40kg×12×4 未做,250m×12 间休45s 未做；快步10min+拉伸
20,03-29,126 分钟,55kg×12×4,60kg×12×4,无,70kg×12×4,无,30kg×12×4,无,做（未写重量/次数）,无,左右各30kg×12×4；50/60/70/80kg 递增各1次,02:02/500m，250m×16，4092m，195W，29:08，33spm
21,03-28,110 分钟,50kg×14×4,60kg×12×4,45kg×12×4,无,无,30kg×12×2；25kg×12×2,无,做（未写重量/次数）,外展50kg×12×4；内收50kg×12×4,无,01:59/500m，4055m，207W，28:26，34spm
22,03-27,113 分钟,50kg×14×4,60kg×12×4,45kg×12×4,无,无,30kg×12；25kg×12；20kg×12×2,无,40kg×12×4,外展50kg×12×4；内收50kg×12×4,无,02:00/500m，4076m，203W，28:49，33spm
23,03-26,58 分钟,50kg×12×4,60kg×12×4,45kg×12×4,无,–,30kg×12×2；20kg×12×2,–,–,–,–,01:57/500m，250m×4，1009m，230W，06:59，33spm
24,03-25,122 分钟,55kg×12×4,60kg×12×4,45kg×12×4,70kg×12×4,无,无,无,做（未写重量/次数）,无,左右各50kg×12×4,02:10/500m，4070m，160W，29:57，33spm
25,03-24,107 分钟,55kg×12×4,60kg×12×4,45kg×12×4,70kg×12×4,无,无,无,做（未写重量/次数）,无,左右各45kg×12×4,02:05/500m，4092m，181W，29:12，35spm
26,03-19,110 分钟,55kg×12×4,60kg×12×4,45kg×12×4,无,无,30kg×12×4,无,做（未写重量/次数）,外展50kg×12×4；内收50kg×12×4,无,01:58/500m，4051m，211W，28:23，34spm
27,03-14,160 分钟,50kg×12×4,60kg×12×4,45kg×12×4,70kg×12×4,–,30kg×12×1；20kg×12×2,无,–,45kg×14×4,–,02:01/500m，250m×12，3060m，197W，21:47，31spm
28,03-13,109 分钟,50kg×12×4,60kg×12×4,45kg×12×4,70kg×12×4,–,30kg×12×1；25kg×12×1；20kg×12×2,无,–,45kg×14×4,–,约 02:20/500m，250m×12，3060m，≈202W，21:44，33spm
29,03-12,131 分钟,50kg×12×4,55kg×12×4,45kg×12×4,70kg×12×4,–,30kg×12×1；25kg×12×1；20kg×12×2,20kg×12×4,–,外展/内收45kg×14×4,–,02:01/500m，2041m，195W，14:25，33spm
30,03-11,123 分钟,50kg×12×4,55kg×12×4,45kg×12×4,70kg×12×4,70kg×12×4,–,–,–,外展/内收45kg×14×4,–,02:05/500m，1804m，≈180W+，14:31，31spm
31,03-09,113 分钟,50kg×12×4,55kg×12×4,45kg×12×4,70kg×12×4,–,–,–,–,外展/内收45kg×14×4,–,02:07/500m，2033m，176W，14:35，30spm
32,03-08,98 分钟,50kg×12×4,55kg×12×4,45kg×12×4,70kg×12×4,70kg×12×4,–,–,–,–,50kg×12×1（左右各）,02:10/500m，2041m，162W，14:57，32spm
33,03-07,124 分钟,45kg×12×4,55kg×12×4,40kg×12×4,65kg×12×4,70kg×12×4,–,–,35kg×12×2,–,–,02:16/500m，2051m，139W，15:26，31spm
34,03-06,100 分钟,50kg×12×4,55kg×14×4,40kg×14×4,75kg×12×4,70kg×12×4,–,–,40/35kg 各12×2,–,–,02:16/500m，2030m，143W，15:16，33spm
35,03-05,122 分钟,45kg×14×4,55kg×14×4,40kg×14×4,75kg×12×4,70kg×12×4,–,–,–,外展45kg×12×4；内收55kg×12×4,–,02:09/500m，2039m，164W，14:56，36spm
36,03-03,120 分钟,45kg×12×4,55kg×12×4,40kg×12×4,–,60kg×12×4,–,–,35kg×12×4,–,–,02:19/500m，2030m，132W，15:38，33spm
37,03-02,117 分钟,45kg×12×4,55kg×12×3 + 50kg×12×1,35kg×12×4,60kg×12×4,60kg×12×4,–,–,–,55kg×12×2,–,02:24/500m，2033m，122W，15:57，32spm
38,02-28,113 分钟,35kg×12×4,50kg×12×4,50/45/40/35kg 各12,55kg×12×4,55kg×13×4,–,–,–,–,–,02:20/500m，2026m，128W，15:37，32spm
